Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Product_ID,Sales,Discount
1,CA-2017-152156,11/8/2017,11/11/2017,Second Class,CG/12520,FUR-BO-10001798,3929400,0.02
2,CA-2017-152156,11/8/2017,11/11/2017,Second Class,CG/12520,FUR-CH-10000454,10979100,0.01
3,CA-2017-138688,6/12/2017,6/16/2017,Second Class,DV/13045,OFF-LA-10000240,219300,0.01
4,US-2016-108966,10/11/2016,10/18/2016,Standard Class,SO/20335,FUR-TA-10000577,14363662.5,0.02
5,US-2016-108966,10/11/2016,10/18/2016,Standard Class,SO/20335,OFF-ST-10000760,335520,0.03
6,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH/11710,FUR-FU-10001487,732900,0.02
7,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH/11710,OFF-AR-10002833,109200,0.02
8,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH/11710,TEC-PH-10002275,13607280,0.02
9,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH/11710,OFF-BI-10003910,277560,0.02
10,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH/11710,OFF-AP-10002892,1723500,0.01
11,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH/11710,FUR-TA-10001539,25592760,0.01
12,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH/11710,TEC-PH-10002033,13671360,0.03
13,CA-2018-114412,4/15/2018,4/20/2018,Standard Class,AA/10480,OFF-PA-10002365,233280,0.02
14,CA-2017-161389,12/5/2017,12/10/2017,Standard Class,IM/15070,OFF-BI-10003656,6119640,0.02
15,US-2016-118983,11/22/2016,11/26/2016,Standard Class,HP/14815,OFF-AP-10002311,1032150,0.02
16,US-2016-118983,11/22/2016,11/26/2016,Standard Class,HP/14815,OFF-BI-10000756,38160,0.03
17,CA-2015-105893,11/11/2015,11/18/2015,Standard Class,PK/19075,OFF-ST-10004186,9988200,0.02
18,CA-2015-167164,5/13/2015,5/15/2015,Second Class,AG/10270,OFF-ST-10000107,832500,0.01
19,CA-2015-143336,8/27/2015,9/1/2015,Second Class,ZD/21925,OFF-AR-10003056,128400,0.01
20,CA-2015-143336,8/27/2015,9/1/2015,Second Class,ZD/21925,TEC-PH-10001949,3202200,0.03
21,CA-2015-143336,8/27/2015,9/1/2015,Second Class,ZD/21925,OFF-BI-10002215,340800,0.03
22,CA-2017-137330,12/9/2017,12/13/2017,Standard Class,KB/16585,OFF-AR-10000246,291900,0.03
23,CA-2017-137330,12/9/2017,12/13/2017,Standard Class,KB/16585,OFF-AP-10001492,905100,0.01
24,US-2018-156909,7/16/2018,7/18/2018,Second Class,SF/20065,FUR-CH-10002774,1070580,0.02
25,CA-2016-106320,9/25/2016,9/30/2016,Standard Class,EB/13870,FUR-TA-10000577,15669450,0.02
26,CA-2017-121755,1/16/2017,1/20/2017,Second Class,EH/13945,OFF-BI-10001634,174720,0.02
27,CA-2017-121755,1/16/2017,1/20/2017,Second Class,EH/13945,TEC-AC-10003027,1358550,0.03
28,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB/21520,FUR-BO-10004834,46251450,0.02
29,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB/21520,OFF-BI-10000474,144270,0.02
30,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB/21520,FUR-FU-10004848,1863000,0.03
31,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB/21520,OFF-EN-10001509,48960,0.02
32,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB/21520,OFF-AR-10004042,1294560,0.02
33,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB/21520,OFF-BI-10001525,102870,0.01
34,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB/21520,OFF-AR-10001683,236400,0.03
35,CA-2018-107727,10/19/2018,10/23/2018,Second Class,MA/17560,OFF-PA-10000249,442080,0.02
36,CA-2017-117590,12/8/2017,12/10/2017,First Class,GH/14485,TEC-PH-10004977,16463160,0.01
37,CA-2017-117590,12/8/2017,12/10/2017,First Class,GH/14485,FUR-FU-10003664,2863800,0.01
38,CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN/20710,OFF-EN-10002986,1699920,0.02
39,CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN/20710,FUR-BO-10002545,7985988,0.03
40,CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN/20710,FUR-CH-10004218,3180870,0.02
41,CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN/20710,TEC-PH-10000486,5567520,0.01
42,CA-2018-120999,9/10/2018,9/15/2018,Standard Class,LC/16930,TEC-PH-10004093,2207520,0.02
43,CA-2017-101343,7/17/2017,7/22/2017,Standard Class,RA/19885,OFF-ST-10003479,1168200,0.03
44,CA-2018-139619,9/19/2018,9/23/2018,Standard Class,ES/14080,OFF-ST-10003282,1434240,0.01
45,CA-2017-118255,3/11/2017,3/13/2017,First Class,ON/18715,TEC-AC-10000171,689700,0.03
46,CA-2017-118255,3/11/2017,3/13/2017,First Class,ON/18715,OFF-BI-10003291,261900,0.01
47,CA-2015-146703,10/20/2015,10/25/2015,Second Class,PO/18865,OFF-ST-10001713,3179400,0.03
48,CA-2017-169194,6/20/2017,6/25/2017,Standard Class,LH/16900,TEC-AC-10002167,675000,0.03
49,CA-2017-169194,6/20/2017,6/25/2017,Standard Class,LH/16900,TEC-PH-10003988,327000,0.01
50,CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP/13000,OFF-BI-10004410,573300,0.02
51,CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP/13000,OFF-LA-10002762,1127700,0.02
52,CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP/13000,FUR-FU-10001706,92400,0.02
53,CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP/13000,FUR-CH-10003061,1349850,0.01
54,CA-2017-105816,12/11/2017,12/17/2017,Standard Class,JM/15265,OFF-FA-10000304,228900,0.01
55,CA-2017-105816,12/11/2017,12/17/2017,Standard Class,JM/15265,TEC-PH-10002447,15449250,0.03
56,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB/21055,OFF-ST-10000604,3128400,0.02
57,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB/21055,OFF-PA-10001569,486000,0.02
58,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB/21055,FUR-CH-10003968,4791150,0.01
59,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB/21055,OFF-PA-10000587,218400,0.03
60,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB/21055,TEC-AC-10002167,450000,0.01
61,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB/21055,OFF-BI-10001460,727200,0.03
62,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB/21055,OFF-AR-10001868,25200,0.02
63,CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM/16720,TEC-AC-10004633,209700,0.01
64,CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM/16720,OFF-BI-10001078,387360,0.03
65,CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM/16720,OFF-PA-10003892,2200950,0.01
66,CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM/16720,FUR-FU-10000397,1196400,0.03
67,US-2016-164175,4/30/2016,5/5/2016,Standard Class,PS/18970,FUR-CH-10001146,3196725,0.03
68,CA-2015-106376,12/5/2015,12/10/2015,Standard Class,BS/11590,OFF-AR-10002671,16695360,0.02
69,CA-2015-106376,12/5/2015,12/10/2015,Standard Class,BS/11590,TEC-PH-10002726,2519520,0.03
70,CA-2017-119823,6/4/2017,6/6/2017,First Class,KD/16270,OFF-PA-10000482,1138200,0.02
71,CA-2017-106075,9/18/2017,9/23/2017,Standard Class,HM/14980,OFF-BI-10004654,69240,0.02
72,CA-2018-114440,9/14/2018,9/17/2018,Second Class,TB/21520,OFF-PA-10004675,285750,0.01
73,US-2016-134026,4/26/2016,5/2/2016,Standard Class,JE/15745,FUR-CH-10000513,12479040,0.02
74,US-2016-134026,4/26/2016,5/2/2016,Standard Class,JE/15745,FUR-FU-10003708,1455600,0.02
75,US-2016-134026,4/26/2016,5/2/2016,Standard Class,JE/15745,OFF-ST-10004123,1091760,0.01
76,US-2018-118038,12/9/2018,12/11/2018,First Class,KB/16600,OFF-BI-10004182,,0.01
77,US-2018-118038,12/9/2018,12/11/2018,First Class,KB/16600,FUR-FU-10000260,145620,0.01
78,US-2018-118038,12/9/2018,12/11/2018,First Class,KB/16600,OFF-ST-10000615,408600,0.02
79,US-2015-147606,11/26/2015,12/1/2015,Second Class,JE/15745,FUR-FU-10003194,289500,0.02
80,CA-2017-127208,6/12/2017,6/15/2017,First Class,SC/20770,OFF-AP-10002118,3122400,0.02
81,CA-2017-127208,6/12/2017,6/15/2017,First Class,SC/20770,OFF-BI-10002309,251100,0.01
82,CA-2015-139451,10/12/2015,10/16/2015,Standard Class,DN/13690,OFF-AR-10002053,223500,0.03
83,CA-2015-139451,10/12/2015,10/16/2015,Standard Class,DN/13690,OFF-ST-10002370,320850,0.03
84,CA-2016-149734,9/3/2016,9/8/2016,Standard Class,JC/16105,OFF-EN-10000927,3014760,0.02
85,US-2018-119662,11/13/2018,11/16/2018,First Class,CS/12400,OFF-ST-10003656,3455640,0.03
